,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
0,0,RGI60-15.09991,15,15-Feb,Cn5O193B0142 Rongbuk Glacier,86.83,28.048,73.215,Glacier,Land-terminating,Glacier or ice cap,SRTM,20,,,6004.388672,5935,5152,7946,7946,5152,0,20,24.26647978,2,,,everest,1,1
1,1,RGI60-15.02703,15,15-Feb,,88.20178223,27.76586914,68.664,Glacier,Land-terminating,Glacier or ice cap,SRTM,29,,,5421.736328,5449,4203,7136,7136,4203,0,29,26.45731831,0,,,sikkim,1,1
2,2,RGI60-15.10718,15,15-Feb,Cn5O212A0300 Lianggang Glacier,90.355,28.124,66.025,Glacier,Land-terminating,Glacier or ice cap,SRTM,15,,,5820.582031,5838,4754,7264,7264,4754,0,15,21.76956167,0,,,bhutan,,0
3,3,RGI60-15.09803,15,15-Feb,Cn5O193A0059 Kangxiong Glacier,86.992,27.986,64.393,Glacier,Land-terminating,Glacier or ice cap,SRTM,10,,,6020.969727,5740,4577,8807,8803,4577,0.000134409,10,20.94706189,0,,,everest,1,1
4,4,RGI60-15.03473,15,15-Feb,,86.71591187,28.089468,61.054,Glacier,Land-terminating,Glacier or ice cap,SRTM,16,,,5812.584961,5815,4701,8186,8120,4702,0.002959973,16,24.05125684,2,,,everest,1,1
5,5,RGI60-15.02846,15,15-Feb,,88.13967414,27.79982186,58.261,Glacier,Land-terminating,Glacier or ice cap,SRTM,25,,,5767.616211,5850,4596,7232,7232,4596,0,25,26.14544999,0,,,sikkim,,1
6,6,RGI60-15.09921,15,15-Feb,Cn5O193B0183 Gechongkang Glacier,86.719,28.153,47.113,Glacier,Land-terminating,Glacier or ice cap,SRTM,13,,,6332.930176,6304,5337,7929,7923,5337,0.000141955,13,20.12882885,0,,,everest,1,1
7,7,RGI60-15.09870,15,15-Feb,Cn5O193A0037 Kazhenpu Glacier,87.135,27.921,46.69,Glacier,Land-terminating,Glacier or ice cap,SRTM,9,,,5668.144531,5490.5,3721,8383,8383,3721,0,9,16.69034112,0,,,everest,,1
8,8,RGI60-15.09675,15,15-Feb,Cn5O192C0046,86.287,28.289,42.739,Glacier,Land-terminating,Glacier or ice cap,SRTM,9,,,5691.07373,5661,4780,7095,7095,4780,0,9,17.8067515,0,,,poiqu,,1
9,9,RGI60-15.04515,15,15-Jan,,84.15870667,28.49914932,42.398,Glacier,Land-terminating,Glacier or ice cap,SRTM,10,,,6270.626953,6386,3612,7586,7586,3612,0,10,11.85181818,0,,,,,
10,10,RGI60-15.04121,15,15-Jan,,85.66984558,28.31245422,37.792,Glacier,Land-terminating,Glacier or ice cap,SRTM,21,,,5333.435547,5343,4492,6615,6615,4492,0,21,20.70739826,0,,,poiqu,1,1
11,11,RGI60-15.04151,15,15-Jan,,84.68379211,28.40664291,36.05,Glacier,Land-terminating,Glacier or ice cap,SRTM,14,,,5242.323242,5400,3090,6981,6981,3090,0,14,21.87822337,0,,,,,
